"","x"
"1","G"
"2","H"
"3","X2B"
"4","X3B"
"5","HR"
"6","RBI"
"7","SB"
"8","CS"
"9","BB"
"10","SO"
"11","IBB"
"12","HBP"
"13","SH"
"14","SF"
"15","GIDP"
"16","AVG"
"17","SLG"
"18","OBP"
"19","OPS"
"20","peak_years"
"21","OBP_z"
"22","SLG_z"
"23","OPS_z"
"24","neutralized_HR"
"25","neutralized_H"
"26","awards_won"
"27","award_share"
"28","inducted_num"
"29","hr_per_ab"
"30","rbi_per_ab"
"31","bb_per_ab"
"32","so_per_ab"
"33","ebh_rate"
"34","hr_per_year"
"35","hits_per_year"
"36","runs_per_year"
"37","rbi_per_year"
"38","peak_performance_ratio"
"39","peak_hr_achieved"
"40","games_per_year"
"41","ab_per_game"
"42","awards_per_year"
"43","era_num"
"44","fielding_pct"
"45","pos_difficulty"
"46","pos_adj_ops"
"47","offensive_value"
"48","career_achievement"
"49","efficiency_score"
"50","era_adj_hr"
"51","era_adj_ops"
